Cheapest,Price,Taxes,outbound 1 airport departure,outbound 1 airport arrival,outbound 1 time departure,outbound 1 time arrival,outbound 1 flight number,outbound 2 airport departure,outbound 2 airport arrival,outbound 2 time departure,outbound 2 time arrival,outbound 2 flight number,inbound 1 airport departure,inbound 1 airport arrival,inbound 1 time departure,inbound 1 time arrival,inbound 1 flight number,inbound 2 airport departure,inbound 2 airport arrival,inbound 2 time departure,inbound 2 time arrival,inbound 2 flight number
True,470.38,70.38,CPH,AMS,2024-09-27 14:15,2024-09-27 15:40,UX3757,AMS,MAD,2024-09-28 07:40,2024-09-28 10:15,UX3766,MAD,AMS,2024-10-11 07:05,2024-10-11 09:45,UX1091,AMS,CPH,2024-10-11 16:50,2024-10-11 18:10,UX3771
True,470.38,70.38,CPH,AMS,2024-09-27 14:15,2024-09-27 15:40,UX3757,AMS,MAD,2024-09-28 07:40,2024-09-28 10:15,UX3766,MAD,AMS,2024-10-11 07:05,2024-10-11 09:45,UX1091,AMS,CPH,2024-10-11 21:10,2024-10-11 22:30,UX3774
True,470.38,70.38,CPH,AMS,2024-09-27 14:15,2024-09-27 15:40,UX3757,AMS,MAD,2024-09-28 07:40,2024-09-28 10:15,UX3766,MAD,AMS,2024-10-11 07:05,2024-10-11 09:45,UX1091,AMS,CPH,2024-10-11 12:15,2024-10-11 13:35,UX3786
True,470.38,70.38,CPH,AMS,2024-09-27 14:15,2024-09-27 15:40,UX3757,AMS,MAD,2024-09-28 07:40,2024-09-28 10:15,UX3766,MAD,AMS,2024-10-11 15:00,2024-10-11 17:40,UX1093,AMS,CPH,2024-10-11 21:10,2024-10-11 22:30,UX3774
True,470.38,70.38,CPH,AMS,2024-09-27 14:15,2024-09-27 15:40,UX3757,AMS,MAD,2024-09-28 07:40,2024-09-28 10:15,UX3766,MAD,AMS,2024-10-11 13:00,2024-10-11 15:40,UX3765,AMS,CPH,2024-10-11 16:50,2024-10-11 18:10,UX3771
True,470.38,70.38,CPH,AMS,2024-09-27 14:15,2024-09-27 15:40,UX3757,AMS,MAD,2024-09-28 07:40,2024-09-28 10:15,UX3766,MAD,AMS,2024-10-11 13:00,2024-10-11 15:40,UX3765,AMS,CPH,2024-10-11 21:10,2024-10-11 22:30,UX3774
False,520.38,70.38,CPH,AMS,2024-09-27 14:15,2024-09-27 15:40,UX3757,AMS,MAD,2024-09-28 07:40,2024-09-28 10:15,UX3766,MAD,AMS,2024-10-11 20:25,2024-10-11 23:00,UX3769,AMS,CPH,2024-10-12 16:50,2024-10-12 18:10,UX3771
False,520.38,70.38,CPH,AMS,2024-09-27 14:15,2024-09-27 15:40,UX3757,AMS,MAD,2024-09-28 07:40,2024-09-28 10:15,UX3766,MAD,AMS,2024-10-11 20:25,2024-10-11 23:00,UX3769,AMS,CPH,2024-10-12 12:15,2024-10-12 13:35,UX3786
False,525.38,70.38,CPH,AMS,2024-09-27 06:00,2024-09-27 07:25,UX3756,AMS,MAD,2024-09-27 19:10,2024-09-27 21:50,UX1094,MAD,AMS,2024-10-11 07:05,2024-10-11 09:45,UX1091,AMS,CPH,2024-10-11 16:50,2024-10-11 18:10,UX3771
False,525.38,70.38,CPH,AMS,2024-09-27 06:00,2024-09-27 07:25,UX3756,AMS,MAD,2024-09-27 19:10,2024-09-27 21:50,UX1094,MAD,AMS,2024-10-11 07:05,2024-10-11 09:45,UX1091,AMS,CPH,2024-10-11 21:10,2024-10-11 22:30,UX3774
False,525.38,70.38,CPH,AMS,2024-09-27 06:00,2024-09-27 07:25,UX3756,AMS,MAD,2024-09-27 19:10,2024-09-27 21:50,UX1094,MAD,AMS,2024-10-11 07:05,2024-10-11 09:45,UX1091,AMS,CPH,2024-10-11 12:15,2024-10-11 13:35,UX3786
False,525.38,70.38,CPH,AMS,2024-09-27 06:00,2024-09-27 07:25,UX3756,AMS,MAD,2024-09-27 19:10,2024-09-27 21:50,UX1094,MAD,AMS,2024-10-11 15:00,2024-10-11 17:40,UX1093,AMS,CPH,2024-10-11 21:10,2024-10-11 22:30,UX3774
False,525.38,70.38,CPH,AMS,2024-09-27 06:00,2024-09-27 07:25,UX3756,AMS,MAD,2024-09-27 19:10,2024-09-27 21:50,UX1094,MAD,AMS,2024-10-11 13:00,2024-10-11 15:40,UX3765,AMS,CPH,2024-10-11 16:50,2024-10-11 18:10,UX3771
