Cheapest,Price,Taxes,outbound 1 airport departure,outbound 1 airport arrival,outbound 1 time departure,outbound 1 time arrival,outbound 1 flight number,outbound 2 airport departure,outbound 2 airport arrival,outbound 2 time departure,outbound 2 time arrival,outbound 2 flight number,inbound 1 airport departure,inbound 1 airport arrival,inbound 1 time departure,inbound 1 time arrival,inbound 1 flight number,inbound 2 airport departure,inbound 2 airport arrival,inbound 2 time departure,inbound 2 time arrival,inbound 2 flight number
True,1632.79,428.79,JFK,MAD,2024-12-09 22:05,2024-12-10 11:10,UX92,MAD,AUH,2024-12-10 14:00,2024-12-10 23:40,UX2703,AUH,MAD,2024-12-26 07:30,2024-12-26 12:30,UX2702,MAD,JFK,2024-12-27 10:45,2024-12-27 13:30,UX3391
False,1703.79,428.79,JFK,MAD,2024-12-09 22:05,2024-12-10 11:10,UX92,MAD,AUH,2024-12-10 14:00,2024-12-10 23:40,UX2703,AUH,MAD,2024-12-26 07:30,2024-12-26 12:30,UX2702,MAD,JFK,2024-12-27 10:45,2024-12-27 13:30,UX3391
False,1703.79,428.79,JFK,MAD,2024-12-09 22:05,2024-12-10 11:10,UX92,MAD,AUH,2024-12-10 14:00,2024-12-10 23:40,UX2703,AUH,MAD,2024-12-26 07:30,2024-12-26 12:30,UX2702,MAD,JFK,2024-12-27 10:45,2024-12-27 13:30,UX3391
False,1774.79,428.79,JFK,MAD,2024-12-09 22:05,2024-12-10 11:10,UX92,MAD,AUH,2024-12-10 14:00,2024-12-10 23:40,UX2703,AUH,MAD,2024-12-26 07:30,2024-12-26 12:30,UX2702,MAD,JFK,2024-12-27 10:45,2024-12-27 13:30,UX3391
False,4019.89,808.89,JFK,MAD,2024-12-09 22:05,2024-12-10 11:10,UX92,MAD,AUH,2024-12-10 14:00,2024-12-10 23:40,UX2703,AUH,MAD,2024-12-26 07:30,2024-12-26 12:30,UX2702,MAD,JFK,2024-12-27 10:45,2024-12-27 13:30,UX3391
False,4090.89,808.89,JFK,MAD,2024-12-09 22:05,2024-12-10 11:10,UX92,MAD,AUH,2024-12-10 14:00,2024-12-10 23:40,UX2703,AUH,MAD,2024-12-26 07:30,2024-12-26 12:30,UX2702,MAD,JFK,2024-12-27 10:45,2024-12-27 13:30,UX3391
False,4289.89,808.89,JFK,MAD,2024-12-09 22:05,2024-12-10 11:10,UX92,MAD,AUH,2024-12-10 14:00,2024-12-10 23:40,UX2703,AUH,MAD,2024-12-26 07:30,2024-12-26 12:30,UX2702,MAD,JFK,2024-12-27 10:45,2024-12-27 13:30,UX3391
False,4359.89,808.89,JFK,MAD,2024-12-09 22:05,2024-12-10 11:10,UX92,MAD,AUH,2024-12-10 14:00,2024-12-10 23:40,UX2703,AUH,MAD,2024-12-26 07:30,2024-12-26 12:30,UX2702,MAD,JFK,2024-12-27 10:45,2024-12-27 13:30,UX3391
False,4461.89,808.89,JFK,MAD,2024-12-09 19:30,2024-12-10 08:45,UX3392,MAD,AUH,2024-12-10 14:00,2024-12-10 23:40,UX2703,AUH,MAD,2024-12-26 07:30,2024-12-26 12:30,UX2702,MAD,JFK,2024-12-27 10:45,2024-12-27 13:30,UX3391
False,4532.89,808.89,JFK,MAD,2024-12-09 19:30,2024-12-10 08:45,UX3392,MAD,AUH,2024-12-10 14:00,2024-12-10 23:40,UX2703,AUH,MAD,2024-12-26 07:30,2024-12-26 12:30,UX2702,MAD,JFK,2024-12-27 10:45,2024-12-27 13:30,UX3391
False,6674.99,1188.99,JFK,MAD,2024-12-09 22:05,2024-12-10 11:10,UX92,MAD,AUH,2024-12-10 14:00,2024-12-10 23:40,UX2703,AUH,MAD,2024-12-26 07:30,2024-12-26 12:30,UX2702,MAD,JFK,2024-12-27 10:45,2024-12-27 13:30,UX3391
False,7116.99,1188.99,JFK,MAD,2024-12-09 19:30,2024-12-10 08:45,UX3392,MAD,AUH,2024-12-10 14:00,2024-12-10 23:40,UX2703,AUH,MAD,2024-12-26 07:30,2024-12-26 12:30,UX2702,MAD,JFK,2024-12-27 10:45,2024-12-27 13:30,UX3391
